"Data","Último","Abertura","Máxima","Mínima","Vol."
"11.03.2024","2.189,05","2.188,25","2.195,40","2.181,35","","0,03%"
"10.03.2024","2.188,30","2.186,40","2.190,60","2.184,05","","0,13%"
"08.03.2024","2.185,50","2.166,60","2.203,00","2.161,20","389,68K","0,94%"
"07.03.2024","2.165,20","2.156,70","2.172,20","2.151,70","267,80K","0,32%"
"06.03.2024","2.158,20","2.136,40","2.160,70","2.131,90","319,76K","0,76%"
"05.03.2024","2.141,90","2.123,30","2.150,50","2.118,50","283,15K","0,73%"
"04.03.2024","2.126,30","2.091,60","2.128,40","2.088,10","328,25K","1,46%"
"01.03.2024","2.095,70","2.052,80","2.097,10","2.047,00","330,59K","2,00%"
"29.02.2024","2.054,70","2.043,80","2.059,40","2.036,00","227,07K","0,59%"
"28.02.2024","2.042,70","2.039,70","2.047,40","2.033,40","137,08K","0,41%"
"27.02.2024","2.034,40","2.031,00","2.038,00","2.028,70","0,96K","0,26%"
"26.02.2024","2.029,10","2.033,70","2.036,30","2.025,00","1,14K","-0,51%"
"23.02.2024","2.039,40","2.024,10","2.041,50","2.015,60","0,71K","0,43%"
"22.02.2024","2.030,70","2.036,50","2.045,50","2.029,30","147,95K","-0,18%"
"21.02.2024","2.034,30","2.036,20","2.043,50","2.030,90","120,60K","-0,27%"
"20.02.2024","2.039,80","2.027,70","2.042,70","2.023,90","202,43K","0,61%"
"19.02.2024","2.027,50","2.025,70","2.034,30","2.024,65","","0,09%"
"18.02.2024","2.025,75","2.027,20","2.027,70","2.024,00","","0,08%"
"16.02.2024","2.024,10","2.016,10","2.027,20","2.006,60","162,36K","0,46%"
"15.02.2024","2.014,90","2.004,80","2.020,20","2.001,80","204,25K","0,53%"
"14.02.2024","2.004,30","2.006,30","2.008,80","1.996,40","193,61K","-0,14%"
"13.02.2024","2.007,20","2.033,70","2.047,30","2.002,80","217,57K","-1,27%"
"12.02.2024","2.033,00","2.038,20","2.041,80","2.025,40","116,03K","-0,28%"
